## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[out1_sample1_bwa_mapped.bam] OUTPUT=out2_sample1_dedup.bam METRICS_FILE=out2_sample1_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 26 10:34:28 IST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	10318	115	1	0	1	0	0.000097	53227122

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	10316	10316
2.0	1.999806	1	1
3.0	2.999419	0	0
4.0	3.998837	0	0
5.0	4.998062	0	0
6.0	5.997093	0	0
7.0	6.995931	0	0
8.0	7.994575	0	0
9.0	8.993025	0	0
10.0	9.991282	0	0
11.0	10.989346	0	0
12.0	11.987215	0	0
13.0	12.984892	0	0
14.0	13.982375	0	0
15.0	14.979665	0	0
16.0	15.976761	0	0
17.0	16.973665	0	0
18.0	17.970375	0	0
19.0	18.966891	0	0
20.0	19.963215	0	0
21.0	20.959346	0	0
22.0	21.955283	0	0
23.0	22.951028	0	0
24.0	23.946579	0	0
25.0	24.941937	0	0
26.0	25.937103	0	0
27.0	26.932076	0	0
28.0	27.926855	0	0
29.0	28.921442	0	0
30.0	29.915836	0	0
31.0	30.910038	0	0
32.0	31.904047	0	0
33.0	32.897863	0	0
34.0	33.891486	0	0
35.0	34.884917	0	0
36.0	35.878155	0	0
37.0	36.871201	0	0
38.0	37.864054	0	0
39.0	38.856715	0	0
40.0	39.849183	0	0
41.0	40.841459	0	0
42.0	41.833543	0	0
43.0	42.825434	0	0
44.0	43.817134	0	0
45.0	44.808641	0	0
46.0	45.799955	0	0
47.0	46.791078	0	0
48.0	47.782008	0	0
49.0	48.772747	0	0
50.0	49.763293	0	0
51.0	50.753648	0	0
52.0	51.74381	0	0
53.0	52.733781	0	0
54.0	53.723559	0	0
55.0	54.713146	0	0
56.0	55.702541	0	0
57.0	56.691744	0	0
58.0	57.680756	0	0
59.0	58.669575	0	0
60.0	59.658203	0	0
61.0	60.64664	0	0
62.0	61.634885	0	0
63.0	62.622938	0	0
64.0	63.6108	0	0
65.0	64.59847	0	0
66.0	65.585949	0	0
67.0	66.573237	0	0
68.0	67.560333	0	0
69.0	68.547238	0	0
70.0	69.533951	0	0
71.0	70.520473	0	0
72.0	71.506804	0	0
73.0	72.492944	0	0
74.0	73.478893	0	0
75.0	74.464651	0	0
76.0	75.450217	0	0
77.0	76.435593	0	0
78.0	77.420777	0	0
79.0	78.405771	0	0
80.0	79.390573	0	0
81.0	80.375185	0	0
82.0	81.359606	0	0
83.0	82.343836	0	0
84.0	83.327875	0	0
85.0	84.311724	0	0
86.0	85.295382	0	0
87.0	86.278849	0	0
88.0	87.262126	0	0
89.0	88.245212	0	0
90.0	89.228107	0	0
91.0	90.210812	0	0
92.0	91.193326	0	0
93.0	92.17565	0	0
94.0	93.157784	0	0
95.0	94.139727	0	0
96.0	95.12148	0	0
97.0	96.103043	0	0
98.0	97.084415	0	0
99.0	98.065597	0	0
100.0	99.046589	0	0

